date,state,city,place_type,confirmed,deaths,is_last,estimated_population,city_ibge_code,confirmed_per_100k_inhabitants,death_rate
2021-12-01,BA,Abaíra,city,300,12,True,8710,2900108,3444.31688,0.04
2021-12-01,BA,Abaré,city,1162,11,True,20347,2900207,5710.91561,0.0095
2021-12-01,BA,Acajutiba,city,575,21,True,15187,2900306,3786.13288,0.0365
2021-12-01,BA,Adustina,city,1098,27,True,17126,2900355,6411.30445,0.0246
2021-12-01,BA,Água Fria,city,206,13,True,17033,2900405,1209.41701,0.0631
2021-12-01,BA,Aiquara,city,505,12,True,4416,2900603,11435.68841,0.0238
2021-12-01,BA,Alagoinhas,city,14610,325,True,152327,2900702,9591.20839,0.0222
2021-12-01,BA,Alcobaça,city,1791,30,True,22490,2900801,7963.53935,0.0168
2021-12-01,BA,Almadina,city,647,11,True,5366,2900900,12057.39843,0.017
2021-12-01,BA,Amargosa,city,3240,57,True,37441,2901007,8653.61502,0.0176
2021-12-01,BA,Amélia Rodrigues,city,2445,51,True,25048,2901106,9761.25838,0.0209
2021-12-01,BA,América Dourada,city,964,13,True,16090,2901155,5991.29894,0.0135
2021-12-01,BA,Anagé,city,1152,30,True,21607,2901205,5331.6055,0.026
2021-12-01,BA,Andaraí,city,952,10,True,13132,2901304,7249.46695,0.0105
2021-12-01,BA,Andorinha,city,977,17,True,14503,2901353,6736.53727,0.0174
2021-12-01,BA,Angical,city,862,20,True,13938,2901403,6184.5315,0.0232
2021-12-01,BA,Anguera,city,532,2,True,11297,2901502,4709.21484,0.0038
2021-12-01,BA,Antas,city,1319,13,True,19479,2901601,6771.39484,0.0099
2021-12-01,BA,Antônio Cardoso,city,636,11,True,11677,2901700,5446.60444,0.0173
2021-12-01,BA,Antônio Gonçalves,city,918,10,True,11878,2901809,7728.57383,0.0109
2021-12-01,BA,Aporá,city,676,19,True,17788,2901908,3800.31482,0.0281
2021-12-01,BA,Apuarema,city,777,11,True,7302,2901957,10640.9203,0.0142
2021-12-01,BA,Araçás,city,718,17,True,12208,2902054,5881.38925,0.0237
2021-12-01,BA,Aracatu,city,914,18,True,13045,2902005,7006.51591,0.0197
2021-12-01,BA,Araci,city,3853,55,True,54648,2902104,7050.57825,0.0143
2021-12-01,BA,Aramari,city,694,14,True,11461,2902203,6055.31804,0.0202
2021-12-01,BA,Arataca,city,791,15,True,10961,2902252,7216.49485,0.019
2021-12-01,BA,Aratuípe,city,499,12,True,8837,2902302,5646.71269,0.024
2021-12-01,BA,Aurelino Leal,city,1094,35,True,11299,2902401,9682.27277,0.032
2021-12-01,BA,Baianópolis,city,983,20,True,13929,2902500,7057.21875,0.0203
2021-12-01,BA,Baixa Grande,city,1043,19,True,20449,2902609,5100.49391,0.0182
2021-12-01,BA,Banzaê,city,1195,9,True,13240,2902658,9025.67976,0.0075
2021-12-01,BA,Barra,city,2278,66,True,53910,2902708,4225.56112,0.029
2021-12-01,BA,Barra da Estiva,city,2867,33,True,20392,2902807,14059.43507,0.0115
2021-12-01,BA,Barra do Choça,city,2340,36,True,31209,2902906,7497.83716,0.0154
2021-12-01,BA,Barra do Mendes,city,856,17,True,13833,2903003,6188.10092,0.0199
2021-12-01,BA,Barra do Rocha,city,416,7,True,5612,2903102,7412.6871,0.0168
2021-12-01,BA,Barreiras,city,20234,332,True,156975,2903201,12889.95063,0.0164
2021-12-01,BA,Barro Alto,city,940,14,True,15054,2903235,6244.18759,0.0149
2021-12-01,BA,Barrocas,city,948,27,True,16105,2903276,5886.37069,0.0285
2021-12-01,BA,Barro Preto,city,658,12,True,5448,2903300,12077.82673,0.0182
2021-12-01,BA,Belmonte,city,1260,26,True,23437,2903409,5376.11469,0.0206
2021-12-01,BA,Belo Campo,city,991,18,True,17109,2903508,5792.27307,0.0182
2021-12-01,BA,Biritinga,city,620,7,True,15984,2903607,3878.87888,0.0113
2021-12-01,BA,Boa Nova,city,1039,22,True,12329,2903706,8427.28526,0.0212
2021-12-01,BA,Boa Vista do Tupim,city,291,11,True,18531,2903805,1570.34159,0.0378
2021-12-01,BA,Bom Jesus da Lapa,city,6238,98,True,69662,2903904,8954.66682,0.0157
2021-12-01,BA,Bom Jesus da Serra,city,489,9,True,9823,2903953,4978.11259,0.0184
2021-12-01,BA,Boninal,city,674,9,True,14446,2904001,4665.65139,0.0134
2021-12-01,BA,Bonito,city,1091,14,True,16884,2904050,6461.73892,0.0128
2021-12-01,BA,Boquira,city,895,21,True,21497,2904100,4163.37163,0.0235
2021-12-01,BA,Botuporã,city,459,5,True,10129,2904209,4531.54309,0.0109
2021-12-01,BA,Brejões,city,873,12,True,14222,2904308,6138.37716,0.0137
2021-12-01,BA,Brejolândia,city,158,11,True,10618,2904407,1488.03918,0.0696
2021-12-01,BA,Brotas de Macaúbas,city,329,8,True,10130,2904506,3247.77887,0.0243
2021-12-01,BA,Brumado,city,9772,199,True,67335,2904605,14512.51207,0.0204
2021-12-01,BA,Buerarema,city,1445,46,True,18306,2904704,7893.5868,0.0318
2021-12-01,BA,Buritirama,city,874,24,True,21276,2904753,4107.91502,0.0275
2021-12-01,BA,Caatiba,city,959,15,True,6488,2904803,14781.1344,0.0156
2021-12-01,BA,Cabaceiras do Paraguaçu,city,796,5,True,18911,2904852,4209.19042,0.0063
2021-12-01,BA,Cachoeira,city,1770,32,True,33567,2904902,5273.03602,0.0181
2021-12-01,BA,Caculé,city,2783,21,True,23291,2905008,11948.82143,0.0075
2021-12-01,BA,Caém,city,519,7,True,9058,2905107,5729.74166,0.0135
2021-12-01,BA,Caetanos,city,785,11,True,14608,2905156,5373.7678,0.014
2021-12-01,BA,Caetité,city,4065,43,True,51081,2905206,7957.94914,0.0106
2021-12-01,BA,Cafarnaum,city,999,24,True,18513,2905305,5396.20807,0.024
2021-12-01,BA,Cairu,city,1585,17,True,18427,2905404,8601.50866,0.0107
2021-12-01,BA,Caldeirão Grande,city,576,6,True,13391,2905503,4301.39646,0.0104
2021-12-01,BA,Camacan,city,3075,88,True,32006,2905602,9607.57358,0.0286
2021-12-01,BA,Camaçari,city,25474,631,True,304302,2905701,8371.28905,0.0248
2021-12-01,BA,Camamu,city,2510,58,True,35382,2905800,7094.0026,0.0231
2021-12-01,BA,Campo Alegre de Lourdes,city,1093,37,True,28820,2905909,3792.5052,0.0339
2021-12-01,BA,Campo Formoso,city,5378,76,True,71487,2906006,7523.04615,0.0141
2021-12-01,BA,Canápolis,city,486,10,True,9703,2906105,5008.76018,0.0206
2021-12-01,BA,Canarana,city,1522,39,True,26325,2906204,5781.57645,0.0256
2021-12-01,BA,Canavieiras,city,1566,74,True,30906,2906303,5066.97729,0.0473
2021-12-01,BA,Candeal,city,661,3,True,8181,2906402,8079.69686,0.0045
2021-12-01,BA,Candeias,city,8372,195,True,87458,2906501,9572.59485,0.0233
2021-12-01,BA,Candiba,city,792,16,True,14368,2906600,5512.24944,0.0202
2021-12-01,BA,Cândido Sales,city,2073,53,True,25053,2906709,8274.45815,0.0256
2021-12-01,BA,Cansanção,city,1001,39,True,34882,2906808,2869.6749,0.039
2021-12-01,BA,Canudos,city,850,17,True,16753,2906824,5073.71814,0.02
2021-12-01,BA,Capela do Alto Alegre,city,979,18,True,11616,2906857,8428.0303,0.0184
2021-12-01,BA,Capim Grosso,city,3939,36,True,30862,2906873,12763.26874,0.0091
2021-12-01,BA,Caraíbas,city,365,6,True,8801,2906899,4147.25599,0.0164
2021-12-01,BA,Caravelas,city,1528,16,True,22093,2906907,6916.21781,0.0105
2021-12-01,BA,Cardeal da Silva,city,401,6,True,9346,2907004,4290.60561,0.015
2021-12-01,BA,Carinhanha,city,1416,33,True,29070,2907103,4871.00103,0.0233
2021-12-01,BA,Casa Nova,city,2959,72,True,72545,2907202,4078.84761,0.0243
2021-12-01,BA,Castro Alves,city,2252,41,True,26318,2907301,8556.88122,0.0182
2021-12-01,BA,Catolândia,city,238,1,True,3599,2907400,6612.94804,0.0042
2021-12-01,BA,Catu,city,6680,101,True,54970,2907509,12152.08295,0.0151
2021-12-01,BA,Caturama,city,274,7,True,9316,2907558,2941.17647,0.0255
2021-12-01,BA,Central,city,501,18,True,17280,2907608,2899.30556,0.0359
